id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
775,NA,37.7,5200
776,NA,57.6,4300
777,NA,27.6,6200
778,NA,10.9,3400
779,NA,25.5,1600
780,NA,25,1500
781,NA,16.4,3000
782,NA,17.5,3000
783,NA,7.75,3500
784,NA,7.75,NA
785,NA,7.75,3500
786,NA,7.75,3500
787,NA,7.75,3500
793,NA,22.5,NA
794,NA,28,NA
795,NA,28,NA
802,NA,28,NA
804,NA,28,NA
805,NA,28,2000
806,NA,28,NA
812,NA,28,NA
813,NA,22.5,NA
834,NA,9.5,4000
835,NA,9.5,4000
839,NA,9.5,4000
840,NA,9.5,4000
841,NA,9.3,3500
842,NA,9.1,3500
843,NA,18.5,4300
847,NA,11.4,3500
848,NA,15,4300
849,NA,15,4300
850,NA,18.5,4300
851,NA,52,NA
852,NA,46.9,NA
853,NA,46.9,NA
854,NA,46.9,NA
855,NA,52,NA
856,NA,52,NA
857,NA,52,NA
862,NA,52,NA
863,NA,62.9,NA
865,NA,51,2000
866,NA,52.9,NA
873,NA,51,NA
875,NA,62.9,4400
889,NA,51,NA
890,NA,51,2000
896,NA,27.8,NA
897,NA,27.8,NA
906,NA,27.8,2500
921,NA,65,5150
922,NA,27.8,2500
923,NA,27.8,2500
924,NA,27.8,2500
942,NA,35.7,3700
943,NA,51,2000
944,NA,62.9,4400
949,NA,37,4500
957,NA,37,4500
964,NA,44.9,2000
966,NA,51,2000
969,NA,62.9,4400
983,NA,51,2000
986,NA,51,2000
987,NA,44.9,2000
988,NA,51,2000
991,NA,44.9,2000
992,NA,44.9,2000
993,NA,44.9,2000
994,NA,44.9,2000
